218,68,83,137,33,107,
225,238,195,240,80,83
255,175,189,255,195,160
203,45,62,239,71,58
255,75,31,255,144,104
255,95,109,255,195,113
229,57,53,227,93,91
248,87,166,255,88,88
255,81,47,221,36,118
221,94,137,247,187,151
255,110,127,191,233,255
252,74,26,247,183,51
247,151,30,255,210,0
252,234,187,248,181,0
86,20,176,219,214,92
0,79,249,255,249,76
112,225,245,255,209,148
100,145,115,219,213,164
67,198,172,248,255,174
86,171,47,168,224,99
220,227,91,69,182,73
241,242,181,19,80,88
65,77,11,114,122,23
255,252,0,255,255,255
0,242,96,5,117,230
0,201,255,146,254,157
218,210,153,176,218,185
18,216,250,166,255,203
52,143,80,86,180,211
29,151,108,147,249,185
116,235,213,172,182,229
0,130,200,102,125,182
0,0,70,28,181,224
68,160,141,9,54,55
239,50,217,137,255,253
52,148,230,236,110,173
44,62,80,76,161,175
194,229,156,100,179,244
44,62,80,52,152,219
230,218,218,39,64,70
93,65,87,168,202,186
97,97,97,155,197,195
116,116,191,52,138,199
43,192,228,234,236,198
19,78,94,113,178,128
20,136,204,43,50,178
43,88,118,78,67,118
173,169,150,242,242,242
62,81,81,222,203,164
64,58,62,190,88,105
171,186,171,255,255,255
115,200,169,55,59,68
183,152,145,148,113,107
72,85,99,41,50,60
0,0,0,67,67,67
76,0,1,7,0,0
189,195,199,44,62,80
255,154,158,250,208,196
255,236,210,252,182,159
161,196,253,194,233,251
207,217,223,226,235,240
253,252,251,226,209,195
254,173,166,245,239,239
147,165,207,228,239,233
199,144,129,223,165,121
